Date time,Automatic Weather Station,Maximum Air Temperature Since Midnight(degree Celsius),Minimum Air Temperature Since Midnight(degree Celsius),Air Temperature(degree Celsius)
437587438,The Peak,13.7,13.4,13.55
437587488,The Peak,13.7,13.3,13.5
437587498,The Peak,13.7,13.3,13.5
437587508,The Peak,13.7,13.3,13.5
437587518,The Peak,13.7,13.3,13.5
437587528,The Peak,13.7,13.2,13.45
437587538,The Peak,13.7,13.2,13.45
437587588,The Peak,13.7,13.1,13.399999999999999
437587598,The Peak,13.7,13.1,13.399999999999999
437587608,The Peak,13.7,13.1,13.399999999999999
437587618,The Peak,13.7,13.1,13.399999999999999
437587628,The Peak,13.7,13.0,13.35
437587638,The Peak,13.7,13.0,13.35
437587688,The Peak,13.7,13.0,13.35
437587698,The Peak,13.7,13.0,13.35
437587708,The Peak,13.7,13.0,13.35
437587718,The Peak,13.7,13.0,13.35
437587728,The Peak,13.7,13.0,13.35
437587738,The Peak,13.7,13.0,13.35
437587788,The Peak,13.7,13.0,13.35
437587798,The Peak,13.7,13.0,13.35
437587808,The Peak,13.7,13.0,13.35
437587818,The Peak,13.7,13.0,13.35
437587828,The Peak,13.7,13.0,13.35
437587838,The Peak,13.7,13.0,13.35
437587888,The Peak,13.7,13.0,13.35
437587898,The Peak,13.8,13.0,13.4
